id,compound,predicate,object,pmid,created_at,updated_at
9013,acetylcholine,affects,anti-inflammatory effect,15953592,2014-12-30 02:18:31.153855,2014-12-30 02:18:31.153855
9913,acetylcholine,isa,biogenic amines,17724887,2014-12-30 02:18:49.836163,2014-12-30 02:18:49.836163
9774,acetylcholine,part_of,extracellular,16133489,2014-12-30 02:18:46.474323,2014-12-30 02:18:46.474323
9015,acetylcholine,part_of,spinal cord,15953592,2014-12-30 02:18:31.185175,2014-12-30 02:18:31.185175
10983,acetylcholinesterase (ache) inhibitory,interacts_with,fasciculin-2,2087485,2014-12-30 02:19:12.632137,2014-12-30 02:19:12.632137
8806,acetylcholinesterase,affects,aryl acylamidase activity,19695303,2014-12-30 02:18:26.388159,2014-12-30 02:18:26.388159
9755,ach receptors,affects,axonal transport,698793,2014-12-30 02:18:45.757432,2014-12-30 02:18:45.757432
9754,ach receptors,part_of,muscle,698793,2014-12-30 02:18:45.743997,2014-12-30 02:18:45.743997
11491,acute phase serum protein,interacts_with,polysaccharide,6363539,2014-12-30 02:19:17.217324,2014-12-30 02:19:17.217324
11160,adder venom,causes,pancreatitis,2800879,2014-12-30 02:19:14.243878,2014-12-30 02:19:14.243878
11162,adder venom,part_of,armenian,16373073,2014-12-30 02:19:14.256443,2014-12-30 02:19:14.256443
9725,adenosine diphosphate,augments,serotonin secretion,6537796,2014-12-30 02:18:45.281259,2014-12-30 02:18:45.281259
11915,adenosine triphosphate,part_of,cytosolic,16183882,2014-12-30 02:19:21.116379,2014-12-30 02:19:21.116379
11932,adenovirus-delivered antigens,stimulates,utrophin,10757347,2014-12-30 02:19:21.392258,2014-12-30 02:19:21.392258
11916,adenylyl-imidodiphosphate,interacts_with,venom,16183882,2014-12-30 02:19:21.132361,2014-12-30 02:19:21.132361
10888,adhesion molecules,associated_with,infiltration,16198389,2014-12-30 02:19:11.592995,2014-12-30 02:19:11.592995
13468,adiponectin,compared_with,metformin,22540883,2014-12-30 02:19:42.36454,2014-12-30 02:19:42.36454
9530,adjuvant,part_of,mucosal,15203921,2014-12-30 02:18:41.806531,2014-12-30 02:18:41.806531
10841,adjuvant,treats,dependence,15902919,2014-12-30 02:19:10.799879,2014-12-30 02:19:10.799879
8105,adrenaline,interacts_with,cox,24530741,2014-12-30 02:18:07.629918,2014-12-30 02:18:07.629918
9359,adrenaline,treats,medical staff,18081448,2014-12-30 02:18:38.737993,2014-12-30 02:18:38.737993
9025,adrenergic receptor,associated_with,inflammatory pain,16457792,2014-12-30 02:18:31.391273,2014-12-30 02:18:31.391273
10346,adrenoceptors,interacts_with,adrenoceptors,8783449,2014-12-30 02:18:58.909472,2014-12-30 02:18:58.909472
9209,adrenoceptors,interacts_with,dbv,23985901,2014-12-30 02:18:34.898149,2014-12-30 02:18:34.898149
10293,adrenoceptors,interacts_with,exendin-4,18311183,2014-12-30 02:18:57.507885,2014-12-30 02:18:57.507885
10349,adrenoceptors,interacts_with,leukotriene receptors,8783449,2014-12-30 02:18:58.962414,2014-12-30 02:18:58.962414
10348,adrenoceptors,interacts_with,venom,8783449,2014-12-30 02:18:58.941362,2014-12-30 02:18:58.941362
11771,advanced glycation end products,associated_with,diabetic nephropathy,23159951,2014-12-30 02:19:19.966036,2014-12-30 02:19:19.966036
11136,agmatine,affects,excitability,17761162,2014-12-30 02:19:14.074097,2014-12-30 02:19:14.074097
11134,agmatine,neg_affects,locomotion,17761162,2014-12-30 02:19:14.0612,2014-12-30 02:19:14.0612
11131,agmatine,stimulates,antidepressant,17761162,2014-12-30 02:19:14.033464,2014-12-30 02:19:14.033464
12316,agonism,affects,axonal structure,17125767,2014-12-30 02:19:26.978925,2014-12-30 02:19:26.978925
14343,agonism,augments,weight loss,23775764,2014-12-30 02:19:51.912485,2014-12-30 02:19:51.912485
13778,agonism,neg_affects,energy expenditure,23562866,2014-12-30 02:19:45.025046,2014-12-30 02:19:45.025046
14344,agonism,neg_treats,weight loss,23775764,2014-12-30 02:19:51.925488,2014-12-30 02:19:51.925488
11910,agonism,treats,imbalance,23709595,2014-12-30 02:19:21.028957,2014-12-30 02:19:21.028957
12248,agonism,treats,rodents,16534527,2014-12-30 02:19:26.20185,2014-12-30 02:19:26.20185
13063,agonism,treats,type 2 diabetes,21307137,2014-12-30 02:19:38.259201,2014-12-30 02:19:38.259201
13262,agonist,affects,consumption,22100840,2014-12-30 02:19:40.59715,2014-12-30 02:19:40.59715
13032,agonist,affects,hyperglycaemia,21208359,2014-12-30 02:19:37.969242,2014-12-30 02:19:37.969242
12808,agonist,augments,cell function,20019445,2014-12-30 02:19:35.821326,2014-12-30 02:19:35.821326
13005,agonist,augments,insulin secretion,21142268,2014-12-30 02:19:37.639675,2014-12-30 02:19:37.639675
13241,agonist,augments,insulin secretion,21961484,2014-12-30 02:19:40.169391,2014-12-30 02:19:40.169391
7269,agonist,causes,contraction,1324941,2014-12-30 02:17:59.345192,2014-12-30 02:17:59.345192
13661,agonist,compared_with,exenatide,23139373,2014-12-30 02:19:44.108093,2014-12-30 02:19:44.108093
13167,agonist,compared_with,insulin glargine,21719364,2014-12-30 02:19:39.527541,2014-12-30 02:19:39.527541
12073,agonist,compared_with,oral glucose-lowering medication,23522121,2014-12-30 02:19:24.095403,2014-12-30 02:19:24.095403
13157,agonist,compared_with,placebo,21663496,2014-12-30 02:19:39.456185,2014-12-30 02:19:39.456185
12103,agonist,disrupts,adhesion,20068138,2014-12-30 02:19:24.604503,2014-12-30 02:19:24.604503
12378,agonist,disrupts,food intake,17581835,2014-12-30 02:19:27.809797,2014-12-30 02:19:27.809797
11782,agonist,inhibits,adma,23159951,2014-12-30 02:19:20.03933,2014-12-30 02:19:20.03933
11783,agonist,inhibits,asymmetric dimethylarginine,23159951,2014-12-30 02:19:20.047805,2014-12-30 02:19:20.047805
7378,agonist,inhibits,bombesin,2538918,2014-12-30 02:18:00.714486,2014-12-30 02:18:00.714486
12525,agonist,inhibits,dpp-iv,18525067,2014-12-30 02:19:31.89806,2014-12-30 02:19:31.89806
13359,agonist,inhibits,glucose,22369345,2014-12-30 02:19:41.401695,2014-12-30 02:19:41.401695
12065,agonist,inhibits,lipoprotein,22492091,2014-12-30 02:19:24.001497,2014-12-30 02:19:24.001497
10845,agonist,inhibits,nachr,19326440,2014-12-30 02:19:10.834405,2014-12-30 02:19:10.834405
7270,agonist,inhibits,tachykinin,1324941,2014-12-30 02:17:59.35413,2014-12-30 02:17:59.35413
13043,agonist,inhibits,thickening,21215253,2014-12-30 02:19:38.033313,2014-12-30 02:19:38.033313
12575,agonist,interacts_with,exenatide,18786299,2014-12-30 02:19:32.858029,2014-12-30 02:19:32.858029
13216,agonist,interacts_with,exendin-4,21901364,2014-12-30 02:19:39.93078,2014-12-30 02:19:39.93078
7278,agonist,interacts_with,luteinizing hormone-releasing hormone,1376910,2014-12-30 02:17:59.402005,2014-12-30 02:17:59.402005
13820,agonist,predisposes,hypoglycemia,23748506,2014-12-30 02:19:45.444632,2014-12-30 02:19:45.444632
13864,agonist,prevents,cachexia,24101584,2014-12-30 02:19:45.938069,2014-12-30 02:19:45.938069
13862,agonist,prevents,symptoms,24101584,2014-12-30 02:19:45.908005,2014-12-30 02:19:45.908005
13168,agonist,same_as,insulin glargine,21719364,2014-12-30 02:19:39.533527,2014-12-30 02:19:39.533527
13428,agonist,stimulates,glp-1 receptor,22471248,2014-12-30 02:19:41.941488,2014-12-30 02:19:41.941488
7296,agonist,stimulates,neuromedin c,1515936,2014-12-30 02:17:59.604584,2014-12-30 02:17:59.604584
12901,agonist,treats,adults,20530705,2014-12-30 02:19:36.61907,2014-12-30 02:19:36.61907
13049,agonist,treats,diabetes mellitus,21227526,2014-12-30 02:19:38.091447,2014-12-30 02:19:38.091447
13313,agonist,treats,diabetes,22236411,2014-12-30 02:19:40.999126,2014-12-30 02:19:40.999126
13699,agonist,treats,diabetes,23256660,2014-12-30 02:19:44.460022,2014-12-30 02:19:44.460022
13077,agonist,treats,diabetic,21323903,2014-12-30 02:19:38.41516,2014-12-30 02:19:38.41516
13240,agonist,treats,high fructose diet,21957486,2014-12-30 02:19:40.161071,2014-12-30 02:19:40.161071
12057,agonist,treats,humans,22492091,2014-12-30 02:19:23.884521,2014-12-30 02:19:23.884521
12612,agonist,treats,huntington's disease,18984744,2014-12-30 02:19:33.651821,2014-12-30 02:19:33.651821
13092,agonist,treats,hyperglycemia,21410975,2014-12-30 02:19:38.608346,2014-12-30 02:19:38.608346
13690,agonist,treats,hyperplasia,23220706,2014-12-30 02:19:44.406355,2014-12-30 02:19:44.406355
13504,agonist,treats,people,22789767,2014-12-30 02:19:42.633657,2014-12-30 02:19:42.633657
8092,agonist,treats,prostate cancer,22971474,2014-12-30 02:18:07.44484,2014-12-30 02:18:07.44484
10921,agonist,treats,rabbit,10619183,2014-12-30 02:19:11.975588,2014-12-30 02:19:11.975588
10295,agonist,treats,rat,12964040,2014-12-30 02:18:57.541301,2014-12-30 02:18:57.541301
11902,agonist,treats,renal injury,21253697,2014-12-30 02:19:20.9045,2014-12-30 02:19:20.9045
12902,agonist,treats,t2dm,20530705,2014-12-30 02:19:36.64364,2014-12-30 02:19:36.64364
13114,agonist,treats,transient focal cerebral ischemia,21487412,2014-12-30 02:19:38.833961,2014-12-30 02:19:38.833961
12271,agonist,treats,type 2 diabetes mellitus,16722815,2014-12-30 02:19:26.542263,2014-12-30 02:19:26.542263
12658,agonist,treats,type 2 diabetes mellitus,19243286,2014-12-30 02:19:34.312484,2014-12-30 02:19:34.312484
13164,agonist,treats,type 2 diabetes mellitus,21719364,2014-12-30 02:19:39.50918,2014-12-30 02:19:39.50918
13775,agonist,treats,type 2 diabetes mellitus,23553357,2014-12-30 02:19:45.004985,2014-12-30 02:19:45.004985
12263,agonist,treats,type 2 diabetes,16722815,2014-12-30 02:19:26.488133,2014-12-30 02:19:26.488133
9842,agonist,treats,type 2 diabetes,20206729,2014-12-30 02:18:47.891739,2014-12-30 02:18:47.891739
12896,agonist,treats,type 2 diabetes,20464538,2014-12-30 02:19:36.560503,2014-12-30 02:19:36.560503
13242,agonist,treats,type 2 diabetes,21961484,2014-12-30 02:19:40.181296,2014-12-30 02:19:40.181296
13270,agonist,treats,type 2 diabetes,22146227,2014-12-30 02:19:40.678948,2014-12-30 02:19:40.678948
13505,agonist,treats,type 2 diabetes,22789767,2014-12-30 02:19:42.638752,2014-12-30 02:19:42.638752
13540,agonist,treats,type 2 diabetes,22884767,2014-12-30 02:19:42.87016,2014-12-30 02:19:42.87016
13570,agonist,treats,type 2 diabetes,22960288,2014-12-30 02:19:43.187216,2014-12-30 02:19:43.187216
13629,agonist,treats,type 2 diabetes,23061886,2014-12-30 02:19:43.821619,2014-12-30 02:19:43.821619
13657,agonist,treats,type 2 diabetes,23139373,2014-12-30 02:19:44.076903,2014-12-30 02:19:44.076903
7274,agonistic,treats,prostate cancer,1363977,2014-12-30 02:17:59.379933,2014-12-30 02:17:59.379933
12312,agonists,affects,adverse event,17098089,2014-12-30 02:19:26.930706,2014-12-30 02:19:26.930706
9871,agonists,affects,adverse events,22104467,2014-12-30 02:18:48.881386,2014-12-30 02:18:48.881386
13609,agonists,affects,cancer,23010561,2014-12-30 02:19:43.594857,2014-12-30 02:19:43.594857
13040,agonists,affects,cardiovascular diseases,21215253,2014-12-30 02:19:38.016525,2014-12-30 02:19:38.016525
12728,agonists,affects,cardiovascular risk factors,19624785,2014-12-30 02:19:35.0092,2014-12-30 02:19:35.0092
13013,agonists,affects,cells,21144822,2014-12-30 02:19:37.698234,2014-12-30 02:19:37.698234
13738,agonists,affects,gastrointestinal disorders,23365557,2014-12-30 02:19:44.700407,2014-12-30 02:19:44.700407
12727,agonists,affects,glucose homeostasis,19624785,2014-12-30 02:19:35.00286,2014-12-30 02:19:35.00286
14277,agonists,affects,hyperglycemia,20631270,2014-12-30 02:19:51.274204,2014-12-30 02:19:51.274204
13215,agonists,affects,pleiotropic,21871831,2014-12-30 02:19:39.924601,2014-12-30 02:19:39.924601
13604,agonists,affects,serious adverse events,23010561,2014-12-30 02:19:43.553605,2014-12-30 02:19:43.553605
13314,agonists,affects,weight loss,22236411,2014-12-30 02:19:41.005457,2014-12-30 02:19:41.005457
12966,agonists,augments,insulin secretion,20809667,2014-12-30 02:19:37.39471,2014-12-30 02:19:37.39471
9247,agonists,augments,protein-mediated activation,8613234,2014-12-30 02:18:36.311265,2014-12-30 02:18:36.311265
9867,agonists,augments,satiety,22104467,2014-12-30 02:18:48.802143,2014-12-30 02:18:48.802143
12701,agonists,augments,weight loss,19515413,2014-12-30 02:19:34.736197,2014-12-30 02:19:34.736197
13232,agonists,causes,weight loss,21905764,2014-12-30 02:19:40.060542,2014-12-30 02:19:40.060542
13397,agonists,causes,weight loss,22420869,2014-12-30 02:19:41.695964,2014-12-30 02:19:41.695964
13712,agonists,causes,weight loss,23295502,2014-12-30 02:19:44.544047,2014-12-30 02:19:44.544047
13904,agonists,causes,weight loss,24249759,2014-12-30 02:19:46.394295,2014-12-30 02:19:46.394295
11435,agonists,coexists_with,glp-1 receptor,20465123,2014-12-30 02:19:16.851499,2014-12-30 02:19:16.851499
13159,agonists,coexists_with,hba,21663496,2014-12-30 02:19:39.473019,2014-12-30 02:19:39.473019
13309,agonists,compared_with,agents,22232377,2014-12-30 02:19:40.976742,2014-12-30 02:19:40.976742
9864,agonists,compared_with,dpp-4 inhibitors,22104467,2014-12-30 02:18:48.401345,2014-12-30 02:18:48.401345
13189,agonists,compared_with,exenatide,21730278,2014-12-30 02:19:39.724911,2014-12-30 02:19:39.724911
13162,agonists,compared_with,placebo,21663496,2014-12-30 02:19:39.495467,2014-12-30 02:19:39.495467
13482,agonists,compared_with,placebo,22675341,2014-12-30 02:19:42.461569,2014-12-30 02:19:42.461569
14329,agonists,compared_with,therapies,21484979,2014-12-30 02:19:51.611574,2014-12-30 02:19:51.611574
12310,agonists,disrupts,dipeptidyl peptidase-4 (dpp-4) activity,17098089,2014-12-30 02:19:26.920053,2014-12-30 02:19:26.920053
13411,agonists,inhibits,blood glucose,22432846,2014-12-30 02:19:41.801525,2014-12-30 02:19:41.801525
13565,agonists,inhibits,blood glucose,22945360,2014-12-30 02:19:43.044884,2014-12-30 02:19:43.044884
14265,agonists,inhibits,dipeptidyl peptidase iv,17076997,2014-12-30 02:19:51.087929,2014-12-30 02:19:51.087929
13208,agonists,inhibits,enzymatic,21871831,2014-12-30 02:19:39.861971,2014-12-30 02:19:39.861971
9865,agonists,inhibits,fasting,22104467,2014-12-30 02:18:48.428635,2014-12-30 02:18:48.428635
9868,agonists,inhibits,glucagon,22104467,2014-12-30 02:18:48.826124,2014-12-30 02:18:48.826124
13031,agonists,inhibits,glucose,21208359,2014-12-30 02:19:37.963488,2014-12-30 02:19:37.963488
13033,agonists,inhibits,haemoglobin a1c,21208359,2014-12-30 02:19:37.974803,2014-12-30 02:19:37.974803
13221,agonists,inhibits,systolic blood pressure,21902291,2014-12-30 02:19:39.974393,2014-12-30 02:19:39.974393
14281,agonists,interacts_with,hemoglobin a,20631270,2014-12-30 02:19:51.299373,2014-12-30 02:19:51.299373
13246,agonists,interacts_with,incretin,22051096,2014-12-30 02:19:40.358815,2014-12-30 02:19:40.358815
11361,agonists,neg_affects,exocrine pancreas,22589391,2014-12-30 02:19:15.976829,2014-12-30 02:19:15.976829
13214,agonists,neg_predisposes,hypoglycaemia,21871831,2014-12-30 02:19:39.913978,2014-12-30 02:19:39.913978
14280,agonists,neg_predisposes,hypoglycemia,20631270,2014-12-30 02:19:51.28975,2014-12-30 02:19:51.28975
11901,agonists,prevents,disease progression,21253697,2014-12-30 02:19:20.891339,2014-12-30 02:19:20.891339
13697,agonists,prevents,liver fat,23236362,2014-12-30 02:19:44.449656,2014-12-30 02:19:44.449656
14334,agonists,stimulates,antibodies,21484979,2014-12-30 02:19:51.792079,2014-12-30 02:19:51.792079
13564,agonists,stimulates,glp-1 receptor,22945360,2014-12-30 02:19:43.038489,2014-12-30 02:19:43.038489
13229,agonists,stimulates,glp-1r,21905764,2014-12-30 02:19:40.040641,2014-12-30 02:19:40.040641
13405,agonists,stimulates,glucagon-like peptide- 1 (glp-1) receptor,22432846,2014-12-30 02:19:41.762661,2014-12-30 02:19:41.762661
13303,agonists,stimulates,glucagon-like peptide-1,22232377,2014-12-30 02:19:40.94067,2014-12-30 02:19:40.94067
13310,agonists,treats,adults,22232377,2014-12-30 02:19:40.982544,2014-12-30 02:19:40.982544
11972,agonists,treats,children,19092720,2014-12-30 02:19:22.251394,2014-12-30 02:19:22.251394
14351,agonists,treats,chronic obstructive pulmonary disease,24092637,2014-12-30 02:19:52.018046,2014-12-30 02:19:52.018046
14330,agonists,treats,diabetes,21484979,2014-12-30 02:19:51.616752,2014-12-30 02:19:51.616752
13276,agonists,treats,diabetes,22150224,2014-12-30 02:19:40.71379,2014-12-30 02:19:40.71379
13375,agonists,treats,diabetic,22405265,2014-12-30 02:19:41.527953,2014-12-30 02:19:41.527953
13413,agonists,treats,diabetic,22432846,2014-12-30 02:19:41.821254,2014-12-30 02:19:41.821254
13895,agonists,treats,individuals,24156868,2014-12-30 02:19:46.23192,2014-12-30 02:19:46.23192
13522,agonists,treats,obesity,22827554,2014-12-30 02:19:42.745555,2014-12-30 02:19:42.745555
14352,agonists,treats,pulmonary diseases,24092637,2014-12-30 02:19:52.032972,2014-12-30 02:19:52.032972
14333,agonists,treats,renal impairment,21484979,2014-12-30 02:19:51.772584,2014-12-30 02:19:51.772584
13191,agonists,treats,t2dm,21732798,2014-12-30 02:19:39.753931,2014-12-30 02:19:39.753931
12150,agonists,treats,type 2 diabetes mellitus,15155141,2014-12-30 02:19:25.000053,2014-12-30 02:19:25.000053
13133,agonists,treats,type 2 diabetes mellitus,21612070,2014-12-30 02:19:39.045079,2014-12-30 02:19:39.045079
13566,agonists,treats,type 2 diabetes mellitus,22945360,2014-12-30 02:19:43.050429,2014-12-30 02:19:43.050429
13723,agonists,treats,type 2 diabetes mellitus,23357334,2014-12-30 02:19:44.615006,2014-12-30 02:19:44.615006
13885,agonists,treats,type 2 diabetes mellitus,24156868,2014-12-30 02:19:46.123048,2014-12-30 02:19:46.123048
13909,agonists,treats,type 2 diabetes mellitus,24263424,2014-12-30 02:19:46.453488,2014-12-30 02:19:46.453488
12730,agonists,treats,type 2 diabetes,19624785,2014-12-30 02:19:35.022303,2014-12-30 02:19:35.022303
14336,agonists,treats,type 2 diabetes,21484979,2014-12-30 02:19:51.824754,2014-12-30 02:19:51.824754
13132,agonists,treats,type 2 diabetes,21612070,2014-12-30 02:19:39.017121,2014-12-30 02:19:39.017121
13153,agonists,treats,type 2 diabetes,21663496,2014-12-30 02:19:39.433853,2014-12-30 02:19:39.433853
13223,agonists,treats,type 2 diabetes,21902291,2014-12-30 02:19:39.989092,2014-12-30 02:19:39.989092
13228,agonists,treats,type 2 diabetes,21905764,2014-12-30 02:19:40.026565,2014-12-30 02:19:40.026565
13378,agonists,treats,type 2 diabetes,22405266,2014-12-30 02:19:41.549902,2014-12-30 02:19:41.549902
13638,agonists,treats,type 2 diabetes,23094590,2014-12-30 02:19:43.888006,2014-12-30 02:19:43.888006
13849,agonists,treats,type 2 diabetes,23971789,2014-12-30 02:19:45.736213,2014-12-30 02:19:45.736213
13523,agonists,treats,type ii diabetes,22827554,2014-12-30 02:19:42.75256,2014-12-30 02:19:42.75256
13689,agonists,treats,vascular diseases,23220706,2014-12-30 02:19:44.399136,2014-12-30 02:19:44.399136
13311,agonists,treats,weight loss,22236411,2014-12-30 02:19:40.987827,2014-12-30 02:19:40.987827
13903,agonists,treats,weight loss,24249759,2014-12-30 02:19:46.388495,2014-12-30 02:19:46.388495
11324,aii,treats,gn,15775723,2014-12-30 02:19:15.742153,2014-12-30 02:19:15.742153
10700,akt,affects,transcriptional,22079475,2014-12-30 02:19:08.614503,2014-12-30 02:19:08.614503
9832,akt,interacts_with,akt,19754129,2014-12-30 02:18:47.688069,2014-12-30 02:18:47.688069
9833,akt,interacts_with,egfr,19754129,2014-12-30 02:18:47.705072,2014-12-30 02:18:47.705072
12301,alanine aminotransferase,predisposes,liver steatosis,16953843,2014-12-30 02:19:26.829321,2014-12-30 02:19:26.829321
10861,albolabrin,compared_with,albolabrin,8236159,2014-12-30 02:19:11.133035,2014-12-30 02:19:11.133035
10862,albolabrin,higher_than,albolabrin,8236159,2014-12-30 02:19:11.140468,2014-12-30 02:19:11.140468
8891,albumin polymer preparations,isa,polymer,2737470,2014-12-30 02:18:28.421169,2014-12-30 02:18:28.421169
8740,albumin,associated_with,phn,11253115,2014-12-30 02:18:24.694796,2014-12-30 02:18:24.694796
8910,albumin,disrupts,increased vascular permeability,4152780,2014-12-30 02:18:28.739445,2014-12-30 02:18:28.739445
8889,albumin,isa,polymer,2419385,2014-12-30 02:18:28.390434,2014-12-30 02:18:28.390434
8892,albumin,isa,polymer,2737470,2014-12-30 02:18:28.436767,2014-12-30 02:18:28.436767
8876,albumin,part_of,egg,474306,2014-12-30 02:18:27.925798,2014-12-30 02:18:27.925798
8574,aldosterone,interacts_with,venom,1588674,2014-12-30 02:18:17.154924,2014-12-30 02:18:17.154924
8592,aldosterone,stimulates,npr-a,17440808,2014-12-30 02:18:17.576584,2014-12-30 02:18:17.576584
10541,alkylating agent,interacts_with,rc-3095,19129973,2014-12-30 02:19:04.648821,2014-12-30 02:19:04.648821
8247,alpha 2-antiplasmin,isa,plasmin inhibitor,3968467,2014-12-30 02:18:10.681314,2014-12-30 02:18:10.681314
8216,alpha 2-antiplasmin,isa,treatment,3078212,2014-12-30 02:18:10.007349,2014-12-30 02:18:10.007349
8695,alpha neurotoxins,administered_to,rabbits,8896193,2014-12-30 02:18:23.237948,2014-12-30 02:18:23.237948
14092,alpha v beta 3 integrin,coexists_with,cilengitide,16863930,2014-12-30 02:19:48.737724,2014-12-30 02:19:48.737724
14091,alpha v beta 3 integrin,coexists_with,endothelial,16863930,2014-12-30 02:19:48.731126,2014-12-30 02:19:48.731126
7515,alpha-amylase,stimulates,bombesin,6607137,2014-12-30 02:18:02.084313,2014-12-30 02:18:02.084313
9767,alpha-bungarotoxin,affects,voiding,10840125,2014-12-30 02:18:46.341255,2014-12-30 02:18:46.341255
9795,alpha-bungarotoxin,inhibits,alpha7 subtype nicotinic acetylcholine receptors,19910175,2014-12-30 02:18:46.971011,2014-12-30 02:18:46.971011
9781,alpha-bungarotoxin,inhibits,nicotinic acetylcholine receptors,16133489,2014-12-30 02:18:46.648854,2014-12-30 02:18:46.648854
9771,alpha-bungarotoxin,isa,toxins,10896874,2014-12-30 02:18:46.421629,2014-12-30 02:18:46.421629
10848,alpha-cbt,interacts_with,erabutoxin,19326440,2014-12-30 02:19:10.997548,2014-12-30 02:19:10.997548
10847,alpha-cbt,interacts_with,toxin,19326440,2014-12-30 02:19:10.990472,2014-12-30 02:19:10.990472
11716,alpha-conotoxin auib,inhibits,nachr,20889259,2014-12-30 02:19:19.485157,2014-12-30 02:19:19.485157
9772,alpha-conotoxin imi,isa,toxins,10896874,2014-12-30 02:18:46.434615,2014-12-30 02:18:46.434615
9245,alpha-conotoxin,coexists_with,amino acids,23414173,2014-12-30 02:18:36.273602,2014-12-30 02:18:36.273602
11717,alpha-conotoxins,inhibits,nachr,20889259,2014-12-30 02:19:19.490501,2014-12-30 02:19:19.490501
11713,alpha-conotoxins,inhibits,nicotinic acetylcholine receptors,20889259,2014-12-30 02:19:19.46951,2014-12-30 02:19:19.46951
12962,alpha-glucosidase inhibitors,treats,type 2 diabetes,20809667,2014-12-30 02:19:37.358404,2014-12-30 02:19:37.358404
7775,alpha-helical crf,isa,crf,10619185,2014-12-30 02:18:04.691235,2014-12-30 02:18:04.691235
11103,alpha-naja naja toxin,part_of,naja naja,6822252,2014-12-30 02:19:13.812079,2014-12-30 02:19:13.812079
11817,alpha-smooth muscle actin,disrupts,spleen,24363240,2014-12-30 02:19:20.246808,2014-12-30 02:19:20.246808
9115,alpha-smooth muscle actin,part_of,smooth muscle,20821823,2014-12-30 02:18:33.263527,2014-12-30 02:18:33.263527
11815,alpha-smooth muscle actin,part_of,smooth muscle,24363240,2014-12-30 02:19:20.235553,2014-12-30 02:19:20.235553
12090,alpha1-syntrophin,affects,muscle regeneration,12221071,2014-12-30 02:19:24.383219,2014-12-30 02:19:24.383219
12091,alpha1-syntrophin,causes,muscle hypertrophy,12221071,2014-12-30 02:19:24.3983,2014-12-30 02:19:24.3983
11651,alpha1beta1 integrin,affects,cells,19502781,2014-12-30 02:19:19.114578,2014-12-30 02:19:19.114578
10042,alpha1beta1 integrin,interacts_with,collagen receptor,18712720,2014-12-30 02:18:52.923719,2014-12-30 02:18:52.923719
14143,alphavbeta5 integrin,administered_to,adults,18981465,2014-12-30 02:19:49.301541,2014-12-30 02:19:49.301541
14214,alphavbeta5 integrins,affects,cell adhesion,22976135,2014-12-30 02:19:50.138055,2014-12-30 02:19:50.138055
11755,alphavbeta8 integrins,part_of,blood vessels,23378223,2014-12-30 02:19:19.859388,2014-12-30 02:19:19.859388
9528,aluminium hydroxide,treats,allergy,15147443,2014-12-30 02:18:41.776462,2014-12-30 02:18:41.776462
10355,amino acids,causes,secretory,10822362,2014-12-30 02:18:59.055219,2014-12-30 02:18:59.055219
10352,amino acids,coexists_with,physalaemin,10822362,2014-12-30 02:18:59.011573,2014-12-30 02:18:59.011573
10353,amino acids,compared_with,tachykinins,10822362,2014-12-30 02:18:59.027846,2014-12-30 02:18:59.027846
11252,amino acids,treats,diabetes,14992323,2014-12-30 02:19:15.110897,2014-12-30 02:19:15.110897
11251,amino acids,treats,people,14992323,2014-12-30 02:19:15.105658,2014-12-30 02:19:15.105658
