id,venom,effect,pmid,created_at,updated_at
44,bombesin,neoplasm; malignant (primary),1682040,2014-12-30 01:38:19.99316,2014-12-30 01:38:19.99316
45,bombesin,malignant neoplastic disease,1682040,2014-12-30 01:38:20.001205,2014-12-30 01:38:20.001205
46,bombesin,aging,1715085,2014-12-30 01:38:20.015018,2014-12-30 01:38:20.015018
47,bombesin,milk intake,1788139,2014-12-30 01:38:20.02257,2014-12-30 01:38:20.02257
48,bombesin,food intake,1788139,2014-12-30 01:38:20.030779,2014-12-30 01:38:20.030779
49,bombesin,deprivation of food,1788139,2014-12-30 01:38:20.038962,2014-12-30 01:38:20.038962
50,bombesin,gastric acid secretion,1923941,2014-12-30 01:38:20.048594,2014-12-30 01:38:20.048594
51,bombesin,gastric function,1923941,2014-12-30 01:38:20.056283,2014-12-30 01:38:20.056283
52,bombesin,gastric function,2033507,2014-12-30 01:38:20.064664,2014-12-30 01:38:20.064664
53,bombesin,gastric emptying,2033507,2014-12-30 01:38:20.07254,2014-12-30 01:38:20.07254
54,bombesin,hand-sch,2086245,2014-12-30 01:38:20.08039,2014-12-30 01:38:20.08039
55,bombesin,sch,2086245,2014-12-30 01:38:20.105545,2014-12-30 01:38:20.105545
56,bombesin,core body temperature,2207705,2014-12-30 01:38:20.112722,2014-12-30 01:38:20.112722
57,bombesin,core body temperature,2217515,2014-12-30 01:38:20.11942,2014-12-30 01:38:20.11942
58,bombesin,hypothermia,2217515,2014-12-30 01:38:20.126649,2014-12-30 01:38:20.126649
59,bombesin,food intake,2356153,2014-12-30 01:38:20.13379,2014-12-30 01:38:20.13379
60,bombesin,gastric secretion,2359987,2014-12-30 01:38:20.140741,2014-12-30 01:38:20.140741
61,bombesin,gastric acid secretion,2409424,2014-12-30 01:38:20.147689,2014-12-30 01:38:20.147689
62,bombesin,gastric secretion,2409424,2014-12-30 01:38:20.154832,2014-12-30 01:38:20.154832
63,bombesin,gastric emptying,2409425,2014-12-30 01:38:20.161674,2014-12-30 01:38:20.161674
64,bombesin,hypothermia,2409426,2014-12-30 01:38:20.168405,2014-12-30 01:38:20.168405
65,bombesin,sensation quality,2409426,2014-12-30 01:38:20.176373,2014-12-30 01:38:20.176373
66,bombesin,pancreatic secretion,2421268,2014-12-30 01:38:20.182981,2014-12-30 01:38:20.182981
67,bombesin,menstruation,2436762,2014-12-30 01:38:20.189611,2014-12-30 01:38:20.189611
68,bombesin,small cell carcinoma of lung,2436762,2014-12-30 01:38:20.196357,2014-12-30 01:38:20.196357
69,bombesin,food intake,2485250,2014-12-30 01:38:20.20302,2014-12-30 01:38:20.20302
70,bombesin,eating,2485250,2014-12-30 01:38:20.2099,2014-12-30 01:38:20.2099
71,bombesin,hand-sch,2526353,2014-12-30 01:38:20.216558,2014-12-30 01:38:20.216558
72,bombesin,sch,2526353,2014-12-30 01:38:20.222976,2014-12-30 01:38:20.222976
73,bombesin,glioma; malignant; no icd-o subtype,2538576,2014-12-30 01:38:20.229785,2014-12-30 01:38:20.229785
74,bombesin,vesicular stomatitis,2538576,2014-12-30 01:38:20.236522,2014-12-30 01:38:20.236522
75,bombesin,infection,2538576,2014-12-30 01:38:20.243119,2014-12-30 01:38:20.243119
76,bombesin,infectious disease,2538576,2014-12-30 01:38:20.252271,2014-12-30 01:38:20.252271
77,bombesin,glioma,2538576,2014-12-30 01:38:20.25902,2014-12-30 01:38:20.25902
78,bombesin,gastric acid secretion,2538918,2014-12-30 01:38:20.265849,2014-12-30 01:38:20.265849
79,bombesin,fasting,2664543,2014-12-30 01:38:20.272685,2014-12-30 01:38:20.272685
80,bombesin,starvation,2664543,2014-12-30 01:38:20.280358,2014-12-30 01:38:20.280358
81,bombesin,core body temperature,2664543,2014-12-30 01:38:20.288575,2014-12-30 01:38:20.288575
82,bombesin,hypothermia,2664543,2014-12-30 01:38:20.295365,2014-12-30 01:38:20.295365
83,bombesin,gastric acid secretion,2714571,2014-12-30 01:38:20.302663,2014-12-30 01:38:20.302663
84,bombesin,gastric secretion,2714571,2014-12-30 01:38:20.309617,2014-12-30 01:38:20.309617
85,bombesin,basal gastric acid secretion,2714571,2014-12-30 01:38:20.316774,2014-12-30 01:38:20.316774
86,bombesin,pancreatitis,2717605,2014-12-30 01:38:20.32471,2014-12-30 01:38:20.32471
87,bombesin,water intake,2755870,2014-12-30 01:38:20.332166,2014-12-30 01:38:20.332166
88,bombesin,food intake,2755870,2014-12-30 01:38:20.339685,2014-12-30 01:38:20.339685
89,bombesin,gastric acid secretion,2760944,2014-12-30 01:38:20.348147,2014-12-30 01:38:20.348147
90,bombesin,malignant neoplastic disease,2766293,2014-12-30 01:38:20.355797,2014-12-30 01:38:20.355797
91,bombesin,neoplasm; malignant (primary),2766293,2014-12-30 01:38:20.363428,2014-12-30 01:38:20.363428
92,bombesin,intestinal motility,2838842,2014-12-30 01:38:20.371037,2014-12-30 01:38:20.371037
93,bombesin,malignant adenomatous neoplasm,2838842,2014-12-30 01:38:20.380081,2014-12-30 01:38:20.380081
94,bombesin,neoplasm,2838842,2014-12-30 01:38:20.38756,2014-12-30 01:38:20.38756
95,bombesin,adenocarcinoma,2838842,2014-12-30 01:38:20.395422,2014-12-30 01:38:20.395422
96,bombesin,malignant tumor of pancreas,2838842,2014-12-30 01:38:20.402624,2014-12-30 01:38:20.402624
97,bombesin,gastric acid secretion,2862711,2014-12-30 01:38:20.410552,2014-12-30 01:38:20.410552
98,bombesin,gastric function,2862711,2014-12-30 01:38:20.418051,2014-12-30 01:38:20.418051
99,bombesin,gastric emptying,2862711,2014-12-30 01:38:20.425707,2014-12-30 01:38:20.425707
100,bombesin,chronic obstructive lung disease,2864099,2014-12-30 01:38:20.432514,2014-12-30 01:38:20.432514
101,bombesin,common cold,2864099,2014-12-30 01:38:20.439754,2014-12-30 01:38:20.439754
102,bombesin,cardiac function,2864099,2014-12-30 01:38:20.446973,2014-12-30 01:38:20.446973
103,bombesin,water intake,2923249,2014-12-30 01:38:20.456115,2014-12-30 01:38:20.456115
104,bombesin,food intake,2923249,2014-12-30 01:38:20.46329,2014-12-30 01:38:20.46329
105,bombesin,gastric emptying,3114028,2014-12-30 01:38:20.470804,2014-12-30 01:38:20.470804
106,bombesin,peripheral blood flow,3197861,2014-12-30 01:38:20.479223,2014-12-30 01:38:20.479223
107,bombesin,food intake,3202231,2014-12-30 01:38:20.486513,2014-12-30 01:38:20.486513
108,bombesin,hyperglycemia,3215150,2014-12-30 01:38:20.493873,2014-12-30 01:38:20.493873
109,bombesin,loss of appetite,3226951,2014-12-30 01:38:20.5045,2014-12-30 01:38:20.5045
110,bombesin,food intake,3226951,2014-12-30 01:38:20.515838,2014-12-30 01:38:20.515838
111,bombesin,anorexia,3226951,2014-12-30 01:38:20.524534,2014-12-30 01:38:20.524534
112,bombesin,sleep,3295797,2014-12-30 01:38:20.533143,2014-12-30 01:38:20.533143
113,bombesin,food intake,3295797,2014-12-30 01:38:20.540537,2014-12-30 01:38:20.540537
114,bombesin,elevated blood pressure,3384004,2014-12-30 01:38:20.547401,2014-12-30 01:38:20.547401
115,bombesin,hypertensive disorder,3384004,2014-12-30 01:38:20.554505,2014-12-30 01:38:20.554505
116,bombesin,examined for,3384004,2014-12-30 01:38:20.562239,2014-12-30 01:38:20.562239
117,bombesin,blood pressure,3384004,2014-12-30 01:38:20.569097,2014-12-30 01:38:20.569097
118,bombesin,gastric acid secretion,3393692,2014-12-30 01:38:20.576421,2014-12-30 01:38:20.576421
119,bombesin,gastric secretion,3393692,2014-12-30 01:38:20.583987,2014-12-30 01:38:20.583987
120,bombesin,hypothermia,3430867,2014-12-30 01:38:20.590965,2014-12-30 01:38:20.590965
121,bombesin,arterial blood pressure,3430867,2014-12-30 01:38:20.598562,2014-12-30 01:38:20.598562
122,bombesin,gastric motility,3432135,2014-12-30 01:38:20.60551,2014-12-30 01:38:20.60551
123,bombesin,gastric acid secretion,3437584,2014-12-30 01:38:20.612469,2014-12-30 01:38:20.612469
124,bombesin,pancreatic secretion,3438303,2014-12-30 01:38:20.619843,2014-12-30 01:38:20.619843
125,bombesin,multiple gastric erosions,3513909,2014-12-30 01:38:20.62863,2014-12-30 01:38:20.62863
126,bombesin,fasting,3513909,2014-12-30 01:38:20.636251,2014-12-30 01:38:20.636251
127,bombesin,gastric acidity,3513909,2014-12-30 01:38:20.644076,2014-12-30 01:38:20.644076
128,bombesin,chronic obstructive lung disease,3627951,2014-12-30 01:38:20.6514,2014-12-30 01:38:20.6514
129,bombesin,common cold,3627951,2014-12-30 01:38:20.658582,2014-12-30 01:38:20.658582
130,bombesin,licking,3627951,2014-12-30 01:38:20.666338,2014-12-30 01:38:20.666338
131,bombesin,drinking,3656507,2014-12-30 01:38:20.674512,2014-12-30 01:38:20.674512
132,bombesin,water intake,3656507,2014-12-30 01:38:20.681739,2014-12-30 01:38:20.681739
133,bombesin,licking,3656507,2014-12-30 01:38:20.694181,2014-12-30 01:38:20.694181
134,bombesin,gastric acid secretion,3676774,2014-12-30 01:38:20.701749,2014-12-30 01:38:20.701749
135,bombesin,gastric secretion,3676774,2014-12-30 01:38:20.70957,2014-12-30 01:38:20.70957
136,bombesin,chronic obstructive lung disease,3786114,2014-12-30 01:38:20.717421,2014-12-30 01:38:20.717421
137,bombesin,common cold,3786114,2014-12-30 01:38:20.724775,2014-12-30 01:38:20.724775
138,bombesin,depressive disorder,3786114,2014-12-30 01:38:20.731805,2014-12-30 01:38:20.731805
139,bombesin,water intake,3801925,2014-12-30 01:38:20.739582,2014-12-30 01:38:20.739582
140,bombesin,gastric acid secretion,3956337,2014-12-30 01:38:20.746786,2014-12-30 01:38:20.746786
141,bombesin,gastric secretion,3956337,2014-12-30 01:38:20.754191,2014-12-30 01:38:20.754191
142,bombesin,gastric acid secretion,4007411,2014-12-30 01:38:20.764335,2014-12-30 01:38:20.764335
143,bombesin,gastric secretion,4007411,2014-12-30 01:38:20.772443,2014-12-30 01:38:20.772443
144,bombesin,food intake,4010472,2014-12-30 01:38:20.779454,2014-12-30 01:38:20.779454
145,bombesin,no incoordination,4043224,2014-12-30 01:38:20.898216,2014-12-30 01:38:20.898216
146,bombesin,motility,4043224,2014-12-30 01:38:20.906777,2014-12-30 01:38:20.906777
147,bombesin,intestinal motility,4043224,2014-12-30 01:38:20.920721,2014-12-30 01:38:20.920721
148,bombesin,water intake,6283491,2014-12-30 01:38:20.929276,2014-12-30 01:38:20.929276
149,bombesin,food intake,6283491,2014-12-30 01:38:20.938194,2014-12-30 01:38:20.938194
150,bombesin,stress,6302295,2014-12-30 01:38:20.945692,2014-12-30 01:38:20.945692
151,bombesin,gastric mucosal barrier,6302295,2014-12-30 01:38:20.953769,2014-12-30 01:38:20.953769
152,bombesin,common cold,6302295,2014-12-30 01:38:20.960891,2014-12-30 01:38:20.960891
153,bombesin,chronic obstructive lung disease,6302295,2014-12-30 01:38:20.967878,2014-12-30 01:38:20.967878
154,bombesin,gastric acid secretion,6472575,2014-12-30 01:38:20.976106,2014-12-30 01:38:20.976106
155,bombesin,drinking,6473174,2014-12-30 01:38:20.983133,2014-12-30 01:38:20.983133
156,bombesin,food intake,6473174,2014-12-30 01:38:20.99008,2014-12-30 01:38:20.99008
157,bombesin,deprivation of food,6473174,2014-12-30 01:38:20.997366,2014-12-30 01:38:20.997366
158,bombesin,gastric acid secretion,6482676,2014-12-30 01:38:21.004476,2014-12-30 01:38:21.004476
159,bombesin,gastric acid secretion,6522645,2014-12-30 01:38:21.016608,2014-12-30 01:38:21.016608
160,bombesin,pancreatic insufficiency,6607137,2014-12-30 01:38:21.024321,2014-12-30 01:38:21.024321
161,bombesin,chronic pancreatitis,6697850,2014-12-30 01:38:21.031667,2014-12-30 01:38:21.031667
162,bombesin,pancreatic insufficiency,6697850,2014-12-30 01:38:21.038899,2014-12-30 01:38:21.038899
163,bombesin,chronic obstructive lung disease,6734843,2014-12-30 01:38:21.048123,2014-12-30 01:38:21.048123
164,bombesin,common cold,6734843,2014-12-30 01:38:21.055228,2014-12-30 01:38:21.055228
165,bombesin,gastric acid secretion,6740496,2014-12-30 01:38:21.062466,2014-12-30 01:38:21.062466
166,bombesin,gallbladder contraction,6740496,2014-12-30 01:38:21.070159,2014-12-30 01:38:21.070159
167,bombesin,hypothermia,6855453,2014-12-30 01:38:21.078254,2014-12-30 01:38:21.078254
168,bombesin,gastric emptying,6862156,2014-12-30 01:38:21.086332,2014-12-30 01:38:21.086332
169,bombesin,gastric acid secretion,7021368,2014-12-30 01:38:21.095018,2014-12-30 01:38:21.095018
170,bombesin,gastric secretion,7021368,2014-12-30 01:38:21.104861,2014-12-30 01:38:21.104861
171,bombesin,gastric acid secretion,7063751,2014-12-30 01:38:21.115688,2014-12-30 01:38:21.115688
172,bombesin,gastric secretion,7063751,2014-12-30 01:38:21.124987,2014-12-30 01:38:21.124987
173,bombesin,pancreatic secretion,7063751,2014-12-30 01:38:21.133736,2014-12-30 01:38:21.133736
174,bombesin,water intake,7079366,2014-12-30 01:38:21.14272,2014-12-30 01:38:21.14272
175,bombesin,drinking,7079366,2014-12-30 01:38:21.151453,2014-12-30 01:38:21.151453
176,bombesin,food intake,7079366,2014-12-30 01:38:21.15873,2014-12-30 01:38:21.15873
177,bombesin,gastric acid secretion,7092351,2014-12-30 01:38:21.165812,2014-12-30 01:38:21.165812
178,bombesin,gastric secretion,7154848,2014-12-30 01:38:21.173212,2014-12-30 01:38:21.173212
179,bombesin,gastric acid secretion,7173320,2014-12-30 01:38:21.180854,2014-12-30 01:38:21.180854
180,bombesin,gastric acid secretion,7255766,2014-12-30 01:38:21.188003,2014-12-30 01:38:21.188003
181,bombesin,peak gastric acid output,7255766,2014-12-30 01:38:21.19523,2014-12-30 01:38:21.19523
182,bombesin,gastric secretion,7255766,2014-12-30 01:38:21.203195,2014-12-30 01:38:21.203195
183,bombesin,food intake,7479333,2014-12-30 01:38:21.210436,2014-12-30 01:38:21.210436
184,bombesin,licking,7479333,2014-12-30 01:38:21.217762,2014-12-30 01:38:21.217762
185,bombesin,gastric acid secretion,7563982,2014-12-30 01:38:21.22493,2014-12-30 01:38:21.22493
186,bombesin,arterial blood pressure,7563982,2014-12-30 01:38:21.232464,2014-12-30 01:38:21.232464
187,bombesin,food intake,7569765,2014-12-30 01:38:21.239852,2014-12-30 01:38:21.239852
188,bombesin,circadian rhythm,7705441,2014-12-30 01:38:21.248711,2014-12-30 01:38:21.248711
189,bombesin,gastric acid secretion,7716060,2014-12-30 01:38:21.25615,2014-12-30 01:38:21.25615
190,bombesin,does not play,7716060,2014-12-30 01:38:21.263815,2014-12-30 01:38:21.263815
191,bombesin,fasting,7778034,2014-12-30 01:38:21.270813,2014-12-30 01:38:21.270813
192,bombesin,malignant adenomatous neoplasm,7809021,2014-12-30 01:38:21.277856,2014-12-30 01:38:21.277856
193,bombesin,neoplasm,7809021,2014-12-30 01:38:21.286003,2014-12-30 01:38:21.286003
194,bombesin,small cell carcinoma of lung,7809021,2014-12-30 01:38:21.293335,2014-12-30 01:38:21.293335
195,bombesin,adenocarcinoma,7809021,2014-12-30 01:38:21.300528,2014-12-30 01:38:21.300528
196,bombesin,hyperaesthesia,7813568,2014-12-30 01:38:21.308245,2014-12-30 01:38:21.308245
197,bombesin,fasting,7829539,2014-12-30 01:38:21.315628,2014-12-30 01:38:21.315628
198,bombesin,gastric secretion,7846293,2014-12-30 01:38:21.323138,2014-12-30 01:38:21.323138
199,bombesin,vascular flow,7846293,2014-12-30 01:38:21.330286,2014-12-30 01:38:21.330286
200,bombesin,neoplasm,7858155,2014-12-30 01:38:21.33705,2014-12-30 01:38:21.33705
201,bombesin,malignant tumor of breast,7858155,2014-12-30 01:38:21.343975,2014-12-30 01:38:21.343975
202,bombesin,neoplasm,7868940,2014-12-30 01:38:21.353245,2014-12-30 01:38:21.353245
203,bombesin,enterocolitis,7944667,2014-12-30 01:38:21.360139,2014-12-30 01:38:21.360139
204,bombesin,core body temperature,7972291,2014-12-30 01:38:21.367658,2014-12-30 01:38:21.367658
205,bombesin,hypothermia,7972291,2014-12-30 01:38:21.375643,2014-12-30 01:38:21.375643
206,bombesin,neoplasm of liver,8170991,2014-12-30 01:38:21.383084,2014-12-30 01:38:21.383084
207,bombesin,neoplasm,8170991,2014-12-30 01:38:21.390798,2014-12-30 01:38:21.390798
208,bombesin,neoplasm; malignant (primary),8170991,2014-12-30 01:38:21.40051,2014-12-30 01:38:21.40051
209,bombesin,hepatocellular carcinoma,8170991,2014-12-30 01:38:21.407738,2014-12-30 01:38:21.407738
210,bombesin,malignant neoplastic disease,8170991,2014-12-30 01:38:21.415728,2014-12-30 01:38:21.415728
211,bombesin,hepatic neoplasm,8170991,2014-12-30 01:38:21.423175,2014-12-30 01:38:21.423175
212,bombesin,blood pressure,8191031,2014-12-30 01:38:21.430156,2014-12-30 01:38:21.430156
213,bombesin,appetite increased,8221161,2014-12-30 01:38:21.438853,2014-12-30 01:38:21.438853
214,bombesin,hyperinsulinism,8221161,2014-12-30 01:38:21.44608,2014-12-30 01:38:21.44608
215,bombesin,core body temperature,8221161,2014-12-30 01:38:21.453203,2014-12-30 01:38:21.453203
216,bombesin,hypothermia,8221161,2014-12-30 01:38:21.460353,2014-12-30 01:38:21.460353
217,bombesin,ambient temperature,8221161,2014-12-30 01:38:21.46771,2014-12-30 01:38:21.46771
218,bombesin,remission phase,8242552,2014-12-30 01:38:21.475544,2014-12-30 01:38:21.475544
219,bombesin,neoplasm,8242552,2014-12-30 01:38:21.483118,2014-12-30 01:38:21.483118
220,bombesin,neoplasm; malignant (primary),8242552,2014-12-30 01:38:21.491813,2014-12-30 01:38:21.491813
221,bombesin,depressive disorder,8242552,2014-12-30 01:38:21.499849,2014-12-30 01:38:21.499849
222,bombesin,malignant neoplastic disease,8242552,2014-12-30 01:38:21.509428,2014-12-30 01:38:21.509428
223,bombesin,carcinoma,8242552,2014-12-30 01:38:21.51974,2014-12-30 01:38:21.51974
224,bombesin,neoplasm,8313327,2014-12-30 01:38:21.526998,2014-12-30 01:38:21.526998
225,bombesin,neoplasm; malignant (primary),8313327,2014-12-30 01:38:21.535229,2014-12-30 01:38:21.535229
226,bombesin,malignant tumor of breast,8313327,2014-12-30 01:38:21.543263,2014-12-30 01:38:21.543263
227,bombesin,malignant neoplastic disease,8313327,2014-12-30 01:38:21.550553,2014-12-30 01:38:21.550553
228,bombesin,neoplasm,8313359,2014-12-30 01:38:21.558045,2014-12-30 01:38:21.558045
229,bombesin,malignant tumor of pancreas,8313359,2014-12-30 01:38:21.568656,2014-12-30 01:38:21.568656
230,bombesin,food intake,8322979,2014-12-30 01:38:21.577356,2014-12-30 01:38:21.577356
231,bombesin,neoplasm,8387464,2014-12-30 01:38:21.584838,2014-12-30 01:38:21.584838
232,bombesin,malignant tumor of pancreas,8387464,2014-12-30 01:38:21.592477,2014-12-30 01:38:21.592477
233,bombesin,food intake,8403798,2014-12-30 01:38:21.599999,2014-12-30 01:38:21.599999
234,bombesin,food intake,8447491,2014-12-30 01:38:21.607845,2014-12-30 01:38:21.607845
235,bombesin,sensation quality,8447491,2014-12-30 01:38:21.61972,2014-12-30 01:38:21.61972
236,bombesin,tumor progression,8630226,2014-12-30 01:38:21.629616,2014-12-30 01:38:21.629616
237,bombesin,neoplasm; malignant (primary),8630226,2014-12-30 01:38:21.637381,2014-12-30 01:38:21.637381
238,bombesin,malignant neoplastic disease,8630226,2014-12-30 01:38:21.646744,2014-12-30 01:38:21.646744
239,bombesin,subdivision of,8795081,2014-12-30 01:38:21.654917,2014-12-30 01:38:21.654917
240,bombesin,food intake,8795081,2014-12-30 01:38:21.664639,2014-12-30 01:38:21.664639
241,bombesin,milk intake,8959745,2014-12-30 01:38:21.67343,2014-12-30 01:38:21.67343
242,bombesin,food intake,8959745,2014-12-30 01:38:21.682179,2014-12-30 01:38:21.682179
243,bombesin,birth,8959745,2014-12-30 01:38:21.689706,2014-12-30 01:38:21.689706
244,bombesin,balance,9175202,2014-12-30 01:38:21.697547,2014-12-30 01:38:21.697547
245,bombesin,food intake,9213356,2014-12-30 01:38:21.70452,2014-12-30 01:38:21.70452
246,bombesin,deprivation of food,9213356,2014-12-30 01:38:21.713417,2014-12-30 01:38:21.713417
247,bombesin,malignant neoplastic disease,9254895,2014-12-30 01:38:21.720221,2014-12-30 01:38:21.720221
248,bombesin,neoplasm,9254895,2014-12-30 01:38:21.727512,2014-12-30 01:38:21.727512
249,bombesin,neoplasm; malignant (primary),9254895,2014-12-30 01:38:21.734492,2014-12-30 01:38:21.734492
250,bombesin,malignant neoplastic disease,9344044,2014-12-30 01:38:21.741489,2014-12-30 01:38:21.741489
251,bombesin,neoplasm,9344044,2014-12-30 01:38:21.749641,2014-12-30 01:38:21.749641
252,bombesin,neoplasm; malignant (primary),9344044,2014-12-30 01:38:21.756634,2014-12-30 01:38:21.756634
253,bombesin,growth pattern,9344044,2014-12-30 01:38:21.764659,2014-12-30 01:38:21.764659
254,bombesin,neoplasm,9376196,2014-12-30 01:38:21.771743,2014-12-30 01:38:21.771743
255,bombesin,neoplasm; malignant (primary),9376196,2014-12-30 01:38:21.779708,2014-12-30 01:38:21.779708
256,bombesin,malignant neoplastic disease,9376196,2014-12-30 01:38:21.788498,2014-12-30 01:38:21.788498
257,bombesin,water intake,9402609,2014-12-30 01:38:21.797286,2014-12-30 01:38:21.797286
258,bombesin,depression,9402609,2014-12-30 01:38:21.804836,2014-12-30 01:38:21.804836
259,bombesin,depressive disorder,9402609,2014-12-30 01:38:21.812105,2014-12-30 01:38:21.812105
260,bombesin,malignant adenomatous neoplasm,9486581,2014-12-30 01:38:21.819326,2014-12-30 01:38:21.819326
261,bombesin,neoplasm,9486581,2014-12-30 01:38:21.827001,2014-12-30 01:38:21.827001
262,bombesin,clear cell carcinoma of kidney,9486581,2014-12-30 01:38:21.945383,2014-12-30 01:38:21.945383
263,bombesin,adenocarcinoma,9486581,2014-12-30 01:38:21.952875,2014-12-30 01:38:21.952875
264,bombesin,renal cell carcinoma,9486581,2014-12-30 01:38:21.960148,2014-12-30 01:38:21.960148
265,bombesin,celiac disease,9539666,2014-12-30 01:38:21.968278,2014-12-30 01:38:21.968278
266,bombesin,gluten free diet,9539666,2014-12-30 01:38:21.976196,2014-12-30 01:38:21.976196
267,bombesin,malignant adenomatous neoplasm,9650851,2014-12-30 01:38:21.984037,2014-12-30 01:38:21.984037
268,bombesin,carcinoma,9650851,2014-12-30 01:38:21.992967,2014-12-30 01:38:21.992967
269,bombesin,neoplasm,9650851,2014-12-30 01:38:22.000636,2014-12-30 01:38:22.000636
270,bombesin,adenocarcinoma,9650851,2014-12-30 01:38:22.008004,2014-12-30 01:38:22.008004
271,bombesin,standard meal,9657358,2014-12-30 01:38:22.020033,2014-12-30 01:38:22.020033
272,bombesin,pancreatic secretion,9657358,2014-12-30 01:38:22.027465,2014-12-30 01:38:22.027465
273,bombesin,neoplasm,9713279,2014-12-30 01:38:22.035644,2014-12-30 01:38:22.035644
274,bombesin,malignant tumor of breast,9713279,2014-12-30 01:38:22.042873,2014-12-30 01:38:22.042873
275,bombesin,neoplasm,9815798,2014-12-30 01:38:22.052542,2014-12-30 01:38:22.052542
276,bombesin,carcinoma,9815798,2014-12-30 01:38:22.060092,2014-12-30 01:38:22.060092
277,bombesin,ovarian carcinoma,9815798,2014-12-30 01:38:22.067065,2014-12-30 01:38:22.067065
