toxprot_id	pmid	PID	PMID	SID	s_cui	s_type	s_name	predicate	o_cui	o_type	o_name
P0C5H3	12787033	541001	12787033	68730459	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C5H3	12787033	541001	12787033	68730693	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P59354	10103091	541001	10103091	69511209	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P58925	12006587	541001	12006587	74979399	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	9845331	541001	9845331	77805389	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P01478	9845331	541001	9845331	77805389	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56678	9690781	541001	9690781	79009136	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P59355	9690781	541001	9690781	79009136	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9UAC8	10599845	541001	10599845	81199602	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56678	9917409	541001	9917409	81355267	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P84744	15165720	541001	15165720	82441243	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C350	17142296	541001	17142296	93453724	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C349	17142296	541001	17142296	93453724	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P83560	19592486	541001	19592486	119924564	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q45Z47	2544597	550476	2544597	20290523	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
Q9PWF3	9839677	550476	9839677	73603433	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
P45639	9809993	550476	9809993	76538302	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
P45639	9809993	550476	9809993	76538302	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
P0CH24	20307606	550476	20307606	121968579	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
P0CH23	20307606	550476	20307606	121968579	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
D5L5Q7	20307606	550476	20307606	121968579	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
P0CH39	20307606	550476	20307606	121968579	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
D5L5Q8	20307606	550476	20307606	121968579	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
P0CH22	20307606	550476	20307606	121968579	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
P0CH21	20307606	550476	20307606	121968579	C0006104	bpoc	Brain	PART_OF	C0026809	mamm	Mus
P68727	13130519	594631	13130519	98429369	C0037925	bpoc	Spinal Cord	PART_OF	C0034693	mamm	Rattus norvegicus
Q8AWX7	16924676	544587	16924676	85465671	C0022877	orgt	Laboratory	LOCATION_OF	C0043227	ocac	Work
P50984	10545176	2360999	10545176	67929503	C0597357	aapp	receptor	INTERACTS_WITH	C0030956	aapp	Peptides
P50984	10545176	2360999	10545176	67929503	C0597357	aapp	receptor	INTERACTS_WITH	C0030956	aapp	Peptides
P50985	10545176	2360999	10545176	67929503	C0597357	aapp	receptor	INTERACTS_WITH	C0030956	aapp	Peptides
Q9TWD3	8745044	605065	8745044	56905666	C0034693	mamm	Rattus norvegicus	LOCATION_OF	C0030956	aapp	Peptides
P13487	2482078	541001	2482078	35531088	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13487	2482078	541001	2482078	35531088	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P01481	8626486	541001	8626486	39756484	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P01481	8626486	541001	8626486	39757684	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8QGR0	8410188	541001	8410188	43595847	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P45666	8053002	541001	8053002	47045087	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56710	7836370	541001	7836370	47247372	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U655	8300586	541001	8300586	47593782	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P18511	8300586	541001	8300586	47593782	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U655	8300586	541001	8300586	47594730	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P18511	8300586	541001	8300586	47594730	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56708	8890263	541001	8890263	51459848	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56853	7576642	541001	7576642	52649385	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56852	7576642	541001	7576642	52649385	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9TVX3	9151979	541001	9151979	58206866	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NJP7	9151979	541001	9151979	58206866	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U8D2	9151979	541001	9151979	58206866	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9TVX3	9151979	541001	9151979	58207102	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NJP7	9151979	541001	9151979	58207102	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U8D2	9151979	541001	9151979	58207102	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P60237	10531397	541001	10531397	59395011	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9UAC8	10956424	541001	10956424	61960960	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9UAC9	10956424	541001	10956424	61960960	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8I0L5	11457451	541001	11457451	62001610	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8I0L5	11457451	541001	11457451	62002017	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	11874465	541001	11874465	62017121	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	11874465	541001	11874465	62017769	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	11874465	541001	11874465	62018304	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P15226	10091586	541001	10091586	62222119	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII7	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII7	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII6	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII5	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P60615	10627589	541001	10627589	66083455	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q867F4	12473099	541001	12473099	68122278	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8I0L5	12473099	541001	12473099	68122278	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P60208	12473099	541001	12473099	68122278	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C5H3	12787033	541001	12787033	68730459	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C5H3	12787033	541001	12787033	68730693	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P59354	10103091	541001	10103091	69511209	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P58925	12006587	541001	12006587	74979399	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	9845331	541001	9845331	77805389	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P01478	9845331	541001	9845331	77805389	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56678	9690781	541001	9690781	79009136	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P59355	9690781	541001	9690781	79009136	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9UAC8	10599845	541001	10599845	81199602	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56678	9917409	541001	9917409	81355267	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P84744	15165720	541001	15165720	82441243	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C350	17142296	541001	17142296	93453724	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C349	17142296	541001	17142296	93453724	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P83560	19592486	541001	19592486	119924564	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P58396	9604280	587875	9604280	65031755	C0234421	menp	Conscious	PROCESS_OF	C0034693	mamm	Rattus norvegicus
Q98993	7597718	575718	7597718	45507110	C0232108	ortf	Arterial pulse pressure	PROCESS_OF	C0034693	mamm	Rattus norvegicus
P85092	23005263	575718	23005263	133071017	C0232108	ortf	Arterial pulse pressure	PROCESS_OF	C0034693	mamm	Rattus norvegicus
Q9PWF3	18662711	603628	18662711	124913375	C0021493	topp	Injections, Intraperitoneal	TREATS	C0026809	mamm	Mus
P68410	23085190	603628	23085190	132450565	C0021493	topp	Injections, Intraperitoneal	TREATS	C0026809	mamm	Mus
P59936	23085190	603628	23085190	132450565	C0021493	topp	Injections, Intraperitoneal	TREATS	C0026809	mamm	Mus
Q1ELU5	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q1ELU4	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q1ELU0	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q1ELU7	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q1ELU8	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q1ELV0	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q1ELU1	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q1ELU3	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q1ELU9	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q1ELT9	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q1ELU2	16735513	1474071	16735513	97326674	C0030956	aapp	Peptides	AFFECTS	C0007634	cell	Cells
Q9U655	7918355	1304756	7918355	56863368	C0027882	cell	Neurons	LOCATION_OF	C0030956	aapp	Peptides
Q9TWM7	7918355	1304756	7918355	56863368	C0027882	cell	Neurons	LOCATION_OF	C0030956	aapp	Peptides
P18511	7918355	1304756	7918355	56863368	C0027882	cell	Neurons	LOCATION_OF	C0030956	aapp	Peptides
P58396	9604280	587875	9604280	65031755	C0234421	menp	Conscious	PROCESS_OF	C0034693	mamm	Rattus norvegicus
Q9DGH6	16410825	540003	16410825	99087640	C0040300	tisu	Body tissue	PART_OF	C0027651	neop	Neoplasm
Q9DGH6	16410825	540003	16410825	99088797	C0040300	tisu	Body tissue	PART_OF	C0027651	neop	Neoplasm
Q9PWF3	22142367	540003	22142367	135057570	C0040300	tisu	Body tissue	PART_OF	C0027651	neop	Neoplasm
P13487	2482078	541001	2482078	35531088	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13487	2482078	541001	2482078	35531088	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P01481	8626486	541001	8626486	39756484	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P01481	8626486	541001	8626486	39757684	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8QGR0	8410188	541001	8410188	43595847	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P45666	8053002	541001	8053002	47045087	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56710	7836370	541001	7836370	47247372	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U655	8300586	541001	8300586	47593782	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P18511	8300586	541001	8300586	47593782	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U655	8300586	541001	8300586	47594730	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P18511	8300586	541001	8300586	47594730	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56708	8890263	541001	8890263	51459848	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56853	7576642	541001	7576642	52649385	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56852	7576642	541001	7576642	52649385	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9TVX3	9151979	541001	9151979	58206866	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NJP7	9151979	541001	9151979	58206866	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U8D2	9151979	541001	9151979	58206866	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9TVX3	9151979	541001	9151979	58207102	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NJP7	9151979	541001	9151979	58207102	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9U8D2	9151979	541001	9151979	58207102	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P60237	10531397	541001	10531397	59395011	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9UAC8	10956424	541001	10956424	61960960	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9UAC9	10956424	541001	10956424	61960960	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8I0L5	11457451	541001	11457451	62001610	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8I0L5	11457451	541001	11457451	62002017	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	11874465	541001	11874465	62017121	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	11874465	541001	11874465	62017769	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	11874465	541001	11874465	62018304	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P15226	10091586	541001	10091586	62222119	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII7	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII7	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII6	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9NII5	9354615	541001	9354615	63180916	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P60615	10627589	541001	10627589	66083455	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q867F4	12473099	541001	12473099	68122278	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q8I0L5	12473099	541001	12473099	68122278	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P60208	12473099	541001	12473099	68122278	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C5H3	12787033	541001	12787033	68730459	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C5H3	12787033	541001	12787033	68730693	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P59354	10103091	541001	10103091	69511209	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P58925	12006587	541001	12006587	74979399	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P13494	9845331	541001	9845331	77805389	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P01478	9845331	541001	9845331	77805389	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56678	9690781	541001	9690781	79009136	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P59355	9690781	541001	9690781	79009136	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
Q9UAC8	10599845	541001	10599845	81199602	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P56678	9917409	541001	9917409	81355267	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P84744	15165720	541001	15165720	82441243	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C350	17142296	541001	17142296	93453724	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P0C349	17142296	541001	17142296	93453724	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P83560	19592486	541001	19592486	119924564	C0006104	bpoc	Brain	PART_OF	C0034693	mamm	Rattus norvegicus
P58396	9604280	587875	9604280	65031755	C0234421	menp	Conscious	PROCESS_OF	C0034693	mamm	Rattus norvegicus
P00601	1122291	545957	1122291	13017498	C0030274	bpoc	Pancreas	PART_OF	C0039005	mamm	Family suidae
P00604	880314	545957	880314	13556657	C0030274	bpoc	Pancreas	PART_OF	C0039005	mamm	Family suidae
P00602	880314	545957	880314	13556657	C0030274	bpoc	Pancreas	PART_OF	C0039005	mamm	Family suidae
P00603	880314	545957	880314	13556657	C0030274	bpoc	Pancreas	PART_OF	C0039005	mamm	Family suidae
P51972	3403524	545957	3403524	32706617	C0030274	bpoc	Pancreas	PART_OF	C0039005	mamm	Family suidae
Q7T2R1	8711753	545957	8711753	56918141	C0030274	bpoc	Pancreas	PART_OF	C0039005	mamm	Family suidae
Q7T3T5	8711753	545957	8711753	56918141	C0030274	bpoc	Pancreas	PART_OF	C0039005	mamm	Family suidae
P0CE81	12565747	570833	12565747	78621015	C0026809	mamm	Mus	LOCATION_OF	C0003241	aapp	Antibodies
Q5BLY4	21838698	570833	21838698	133770569	C0026809	mamm	Mus	LOCATION_OF	C0003241	aapp	Antibodies
Q5EF78	21838698	570833	21838698	133770569	C0026809	mamm	Mus	LOCATION_OF	C0003241	aapp	Antibodies
P0DL45	23523531	570833	23523531	152166875	C0026809	mamm	Mus	LOCATION_OF	C0003241	aapp	Antibodies
P0DL46	23523531	570833	23523531	152166875	C0026809	mamm	Mus	LOCATION_OF	C0003241	aapp	Antibodies
P0DL44	23523531	570833	23523531	152166875	C0026809	mamm	Mus	LOCATION_OF	C0003241	aapp	Antibodies
B7SNV8	19233226	703564	19233226	122753325	C0003241	aapp	Antibodies	PART_OF	C0026809	mamm	Mus
C5H5D3	18926840	2686333	18926840	114527612	C0032520	lbpr	Polymerase Chain Reaction	METHOD_OF	C0185117	topp	Expression procedure
C5H5D4	18926840	2686333	18926840	114527612	C0032520	lbpr	Polymerase Chain Reaction	METHOD_OF	C0185117	topp	Expression procedure
C5H5D1	18926840	2686333	18926840	114527612	C0032520	lbpr	Polymerase Chain Reaction	METHOD_OF	C0185117	topp	Expression procedure
C5H5D5	18926840	2686333	18926840	114527612	C0032520	lbpr	Polymerase Chain Reaction	METHOD_OF	C0185117	topp	Expression procedure
C5H5D6	18926840	2686333	18926840	114527612	C0032520	lbpr	Polymerase Chain Reaction	METHOD_OF	C0185117	topp	Expression procedure
C5H5D2	18926840	2686333	18926840	114527612	C0032520	lbpr	Polymerase Chain Reaction	METHOD_OF	C0185117	topp	Expression procedure
P0C7S8	8783454	1090110	8783454	46858447	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
Q9IAT9	9972319	1090110	9972319	70845190	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
Q9IAT9	9972319	1090110	9972319	70845190	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
P59071	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
P59071	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
A0A0U5AUY6	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
P86541	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
P86540	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
P86538	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
P86539	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
P86382	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
P86544	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
P86537	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
P86543	20203422	1090110	20203422	121430543	C0008562	lbpr	High pressure liquid chromatography procedure	METHOD_OF	C0008550	lbpr	Chromatography
